Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Birkdale - 2021 - Ceiling tile replacement,New Project,Completion Check to be sent in November,,Clint Stephenson
Bough Beeches-Plumbing Insulation-2021,New Project,Completion Check to be sent in November,,Clint Stephenson
2021-Windsor - Resident Entrance door V-card locking system,New Project,Completion Check to be sent in November,,Franco D'Angelo
Briarfield - Mixing Valve- 2021,New Project,Completion Check to be sent in November,,Clint Stephenson
Riverbend - 2021 - Commercial Washer,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
King Garden - Façade review - 2021,New Project,Completion Check to be sent in November,,Clint Stephenson
Heritage Lodge - 2021 - Laundry Room,New Project,Completion Check to be sent in November,,Franco D'Angelo
Fleetwood Villa - 2021 - Ice Machine,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Barrhaven - 2021 - Generator (Speed Controller),New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Forest Hill - 2021 - Generator ,New Project,Completion Check to be sent in November,,Andrew Bautista
2021 LTC-JV IT Refresh & Growth Endpoint Capital,New Project,Completion Check to be sent in November,,Joan Dewaele
Bay Ridges - 2021 - Missed 2018 Sesco Invoice,New Project,Completion Check to be sent in November,,Andrew Bautista
Elginwood 2021 - Kitchen Dining room water damage,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 Axium LTC-JV IT Resident Safety Nurse Call Capital,New Project,Completion Check to be sent in November,,Filipe Felinto
2021 - LTC JV - Workforce Management - Capital,New Project,Completion Check to be sent in November,,Kristina Ioudine
Holyrood - 2021 - Sling replacement,New Project,Completion Check to be sent in November,,Josh Guy
The Meadows-2021-Sprinkler Pipe Leak,New Project,Completion Check to be sent in November,,Tim Morrison
Maples - 2021 - Deck Replacement,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Bowcrest - 2021 - Roof Repair Electrical Work,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Mount Royal - 2021 - Boiler,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Lakeview - 2021 - Plumbing Repairs,New Project,Completion Check to be sent in November,,Josh Guy
Glenwarren - 2021 - Interior Renovations,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Northridge-2021-Corridors,New Project,Completion Check to be sent in November,,Tim Morrison
Burloak-2021-Gathering Rm Ceiling Repairs,New Project,Completion Check to be sent in November,,Tim Morrison
Maples - 2021 - Mixing Valve Replacement,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Winbourne Park - 2021 - Boiler Piping,New Project,Completion Check to be sent in November,,Andrew Bautista
McGarrell Place - 2021 - Roof,New Project,Completion Check to be sent in November,,Tim Morrison
Holyrood - 2021 - Walkway repairs,New Project,Completion Check to be sent in November,,Josh Guy
The Meadows-2021-4 AC Compressors,New Project,Completion Check to be sent in November,,Tim Morrison
Royal City Manor - 2021 - Boiler Replacement,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
South Terrace - 2021 - Electric Bed,New Project,Completion Check to be sent in November,,Adam Moy
