Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Bow Crest - 2021 - Dining Room HVAC,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Mount Royal - 2021 - 100 Amp Service,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Jasper Place - 2021 - Exterior cladding,New Project,Completion Check to be sent in November,,Trevor Shoemaker
ReachView Village - 2021 - Missed Invoice OFS,New Project,Completion Check to be sent in November,,Andrew Bautista
Green Falls Landing - 2021 - Tenant Space,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Poseidon - 2021 - Hot Water Store Tank Replacement with Relief Valves,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Trillium Court - 2021 - Elevator Maintenance Inspection,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Forest Heights - 2021 - Plumbing Upgrades,New Project,Completion Check to be sent in November,,Tim Morrison
Dover Cliffs - 2021 - Spa Room Flooring,New Project,Completion Check to be sent in November,,Tim Morrison
The Franklin - 2021 - Elevator Doors,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Appleby Place - 2021 - Elevators,New Project,Completion Check to be sent in November,,Clint Stephenson
2021 - RET JV - HealthConnex Enhancements - Capital,New Project,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Adam Butler
Barrhaven - 2021 - Fire Doors,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Briarfield - Roof Remediation Eng fees- 2021,New Project,Completion Check to be sent in November,,Clint Stephenson
St.Lawrence Place - 2021 - Roof (Electrical Room),New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Renaissance - 2021 - Roof repair and clean up,New Project,Completion Check to be sent in November,,Malcolm Holbrow
The Bentley Saskatoon - 2021 - Roof Repair,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Barrhaven - 2021 - Parking Lot,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Donway Place - 2021 - Respite/Model Suites,New Project,Completion Check to be sent in November,,Adam Moy
Marian Chateau - Boiler gasket - 2021,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Landmark 2021 - Pool table room water damage,New Project,Completion Check to be sent in November,,Franco D'Angelo
